State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guatemala,Males,,,,,  4010 ,  4820 ,  5282 ,  5191 ,  5605 ,  5778 ,  5265 ,  5049 ,  4582 ,  4599 ,  4368 ,,
Honduras,Females,,,,,,,  210 ,  324 ,  312 ,  364 ,  385 ,  483 ,  606 ,  490 ,  496 ,  478 ,  466
Honduras,Males,,,,,,,  2908 ,  3264 ,  4143 ,  4916 ,  5851 ,  6621 ,  6566 ,  5941 ,  5395 ,  4670 ,  4684
Mexico,Females,  1286 ,  1281 ,  1283 ,  1327 ,  1205 ,  1296 ,  1301 ,  1097 ,  1416 ,  1924 ,  2406 ,  2719 ,  2783 ,  2667 ,  2414 ,  2393 ,  2821
Mexico,Males,  9451 ,  9004 ,  8805 ,  8760 ,  8124 ,  8625 ,  9151 ,  7770 ,  12590 ,  17879 ,  23351 ,  24494 ,  23184 ,  20396 ,  17596 ,  18369 ,  21738
Nicaragua,Females,,,,,,,,,  58 ,  94 ,  78 ,  55 ,  64 ,  65 ,,  66 ,
Nicaragua,Males,,,,,,,,,  678 ,  708 ,  707 ,  683 ,  609 ,  529 ,,  458 ,
Panama,Females,  29 ,  27 ,  39 ,  36 ,  27 ,  36 ,  19 ,  21 ,  31 ,  40 ,  31 ,  26 ,  34 ,  50 ,  38 ,  49 ,  44
Panama,Males,  270 ,  279 ,  337 ,  301 ,  281 ,  328 ,  202 ,  258 ,  462 ,  522 ,  429 ,  523 ,  603 ,  613 ,  530 ,  398 ,  346
Bermuda,Females,,,,,  1 ,  0   ,,,,  1 ,  0   ,  2 ,  0   ,  0   ,  1 ,  0   ,  0
Bermuda,Males,,,,,  0   ,  2 ,,,,  5 ,  7 ,  6 ,  6 ,  5 ,  3 ,  4 ,  8
Canada,Females,  149 ,  162 ,  207 ,  156 ,  200 ,  180 ,  162 ,  166 ,  147 ,  162 ,  154 ,  179 ,  157 ,  151 ,  151 ,  176 ,  151
Canada,Males,  397 ,  392 ,  375 ,  393 ,  425 ,  484 ,  446 ,  431 ,  467 ,  448 ,  402 ,  427 ,  391 ,  358 ,  370 ,  428 ,  460
Greenland,Females,,,,,,,,,,,,,,,,  2 ,
Greenland,Males,,,,,,,,,,,,,,,,  2 ,
Saint Pierre and Miquelon,Females,,,,,,,  0   ,,,,,,,,,,
Saint Pierre and Miquelon,Males,,,,,,,  0   ,,,,,,,,,,
United States of America,Females,  3709 ,  4460 ,  3761 ,  3695 ,  3552 ,  3559 ,  3654 ,  3678 ,  3589 ,  3530 ,  3311 ,  3262 ,  3301 ,  3169 ,  3184 ,  3334 ,  3682
United States of America,Males,  11877 ,  14573 ,  12468 ,  12833 ,  12596 ,  13181 ,  13655 ,  13450 ,  12896 ,  11869 ,  11411 ,  11399 ,  11555 ,  11150 ,  10980 ,  12549 ,  13568
Argentina,Females,,,,,,,,,,,,,,,  427 ,  387 ,
Argentina,Males,,,,,,,,,,,,,,,  2800 ,  2450 ,
Bolivia,Females,,,,,,,,,  137 ,,,,,,,  241 ,  234
Bolivia,Males,,,,,,,,,  691 ,,,,,,,  430 ,  452
Brazil,Females,  3433 ,  3534 ,  3553 ,  3613 ,  3518 ,  3566 ,  3693 ,  3534 ,  3696 ,  3694 ,  3699 ,  4163 ,  4450 ,  4550 ,  4629 ,  4649 ,
Brazil,Males,  38162 ,  40440 ,  42032 ,  43215 ,  40861 ,  40079 ,  41393 ,  41091 ,  42189 ,  40824 ,  39573 ,  43921 ,  48604 ,  49613 ,  52462 ,  53810 ,
Chile,Females,,,,,,  83 ,  91 ,  111 ,  103 ,  99 ,  96 ,  115 ,  37 ,  108 ,  123 ,  67 ,  90
Chile,Males,,,,,,  493 ,  499 ,  505 ,  485 ,  531 ,  445 ,  521 ,  397 ,  448 ,  515 ,  467 ,  530
Colombia,Females,  1924 ,  2214 ,  2242 ,  2000 ,  1629 ,  1492 ,  1323 ,  1385 ,  1262 ,  1260 ,  1226 ,  1348 ,  1387 ,  1225 ,  1170 ,  1068 ,  1038
Colombia,Males,  24615 ,  25626 ,  26145 ,  21523 ,  18581 ,  16619 ,  16156 ,  15813 ,  14878 ,  14557 ,  14233 ,  14779 ,  15053 ,  14194 ,  12173 ,  11714 ,  11364
Ecuador,Females,  145 ,  148 ,  185 ,  182 ,  218 ,  166 ,  222 ,  229 ,  213 ,  276 ,  241 ,  251 ,  233 ,  253 ,  187 ,  179 ,  180
Ecuador,Males,  1688 ,  1510 ,  1721 ,  1755 ,  2172 ,  1955 ,  2163 ,  2044 ,  2394 ,  2349 ,  2382 ,  2093 ,  1690 ,  1472 ,  1124 ,  876 ,  779
French Guiana,Females,,,,,,,  4 ,  2 ,  1 ,  5 ,,,,,,,
French Guiana,Males,,,,,,,  39 ,  26 ,  31 ,  25 ,,,,,,,
Guyana,Females,,,,,,  28 ,  23 ,  28 ,  38 ,  29 ,  31 ,  34 ,  27 ,  30 ,,  28 ,  10
Guyana,Males,,,,,,  114 ,  130 ,  87 ,  120 ,  88 ,  109 ,  96 ,  112 ,  125 ,,  121 ,  132
Paraguay,Females,,,,,,,,  46 ,  59 ,  69 ,  73 ,  62 ,  73 ,  52 ,  69 ,  57 ,
Paraguay,Males,,,,,,,,  737 ,  774 ,  752 ,  668 ,  595 ,  576 ,  552 ,  509 ,  560 ,
Peru,Females,,,,,,,,,,,,  279 ,  317 ,  311 ,  345 ,  407 ,  518
Peru,Males,,,,,,,,,,,,  1338 ,  1651 ,  1702 ,  1731 ,  1840 ,  1917
Suriname,Females,,,,,,,,  15 ,  10 ,,,,,,,,
Suriname,Males,,,,,,,,  30 ,  33 ,,,,,,,,
Uruguay,Females,,,,,,,  43 ,  32 ,  44 ,  45 ,  41 ,  41 ,  38 ,  54 ,  51 ,  50 ,  42
Uruguay,Males,,,,,,,  159 ,  162 ,  177 ,  181 ,  164 ,  158 ,  229 ,  206 ,  217 ,  243 ,  223
Venezuela,Females,  520 ,  484 ,  845 ,  690 ,  598 ,  556 ,  670 ,  672 ,  735 ,  762 ,  789 ,  805 ,  941 ,,,,
Venezuela,Males,  7502 ,  7476 ,  8772 ,  10652 ,  9121 ,  9408 ,  11587 ,  12484 ,  13854 ,  13223 ,  12291 ,  13293 ,  15131 ,,,,
Kazakhstan,Females,,,,,,,,,  363 ,  416 ,  344 ,  329 ,  276 ,  280 ,  204 ,  251 ,
Kazakhstan,Males,,,,,,,,,  1444 ,  1355 ,  1043 ,  1091 ,  990 ,  840 ,  700 ,  602 ,
Kyrgyzstan,Females,  76 ,  68 ,  79 ,  94 ,  89 ,  90 ,  84 ,  100 ,  90 ,  131 ,,,,,,,
Kyrgyzstan,Males,  354 ,  318 ,  332 ,  327 ,  331 ,  329 ,  338 ,  326 ,  339 ,  288 ,,,,,,,
Tajikistan,Females,,,,,,,  40 ,  33 ,  38 ,  24 ,  23 ,  17 ,,,,,
Tajikistan,Males,,,,,,,  154 ,  99 ,  62 ,  73 ,  158 ,  109 ,,,,,
Turkmenistan,Females,,,,,,,  42 ,,,,,,,,,,
Turkmenistan,Males,,,,,,,  161 ,,,,,,,,,,
Uzbekistan,Females,,,,,,,,,  162 ,,,,,,,,
Uzbekistan,Males,,,,,,,,,  669 ,,,,,,,,
China,Females,,,,,,,,,,,,,,,  3412 ,,
China,Males,,,,,,,,,,,,,,,  6671 ,,
Hong Kong,Females,,,,,  20 ,  13 ,  18 ,  11 ,  25 ,  25 ,  19 ,  9 ,  12 ,  37 ,,,
Hong Kong,Males,,,,,  25 ,  21 ,  17 ,  7 ,  11 ,  22 ,  16 ,  8 ,  15 ,  25 ,,,
Macao,Females,,,,,,,,,  3 ,  4 ,  0   ,  3 ,  1 ,  1 ,  0   ,  1 ,  0
Macao,Males,,,,,,,,,  1 ,  2 ,  2 ,  1 ,  3 ,  0   ,  0   ,  0   ,  1
Taiwan,Females,,,,,,,,,,,,,,,,  53 ,
Taiwan,Males,,,,,,,,,,,,,,,,  139 ,
Japan,Females,,,,,  333 ,  319 ,  324 ,  282 ,  339 ,  253 ,  237 ,  234 ,  240 ,  191 ,  206 ,  218 ,  197
Japan,Males,,,,,  366 ,  324 ,  295 ,  292 ,  315 ,  253 ,  228 ,  208 ,  189 ,  179 ,  189 ,  145 ,  165
Mongolia,Females,,,,,,,,  66 ,  49 ,  59 ,  67 ,  60 ,  57 ,  56 ,  54 ,  43 ,  39
Mongolia,Males,,,,,,,,  227 ,  163 ,  160 ,  172 ,  206 ,  142 ,  149 ,  159 ,  141 ,  132
Republic of Korea,Females,,,,,,,,,,,,  224 ,,  180 ,  192 ,  191 ,  194
Republic of Korea,Males,,,,,,,,,,,,  203 ,,  162 ,  180 ,  174 ,  162
Brunei Darussalam,Females,  2 ,,,,,,,,,,,,,,,,
Brunei Darussalam,Males,  2 ,,,,,,,,,,,,,,,,
Cambodia,Females,,,,,,,,,,,,  43 ,,,,,
Cambodia,Males,,,,,,,,,,,,  225 ,,,,,
Indonesia,Females,,,,,,,,,,,,,,,  332 ,,
Indonesia,Males,,,,,,,,,,,,,,,  945 ,,
Lao People's Democratic Republic,Females,,,,,,,,,,,,,,,,  107 ,
Lao People's Democratic Republic,Males,,,,,,,,,,,,,,,,  360 ,
Malaysia,Females,,,,,,,,,,,  102 ,,,,,,
Malaysia,Males,,,,,,,,,,,  438 ,,,,,,
Myanmar,Females,,,,,,,,,,  131 ,  151 ,  100 ,  241 ,  208 ,  206 ,  193 ,  206
Myanmar,Males,,,,,,,,,,  748 ,  650 ,  955 ,  1195 ,  1030 ,  1024 ,  959 ,  992
Philippines,Females,,,,,,,,  952 ,  1197 ,  1574 ,  1248 ,  1041 ,  1087 ,,,,
Philippines,Males,,,,,,,,  5010 ,  4623 ,  7514 ,  7649 ,  7633 ,  7397 ,,,,
Singapore,Females,,,,,,,  5 ,  5 ,  11 ,  7 ,  3 ,  6 ,  6 ,  6 ,  7 ,  3 ,  7
Singapore,Males,,,,,,,  12 ,  13 ,  16 ,  13 ,  16 ,  10 ,  5 ,  11 ,  7 ,  11 ,  11
Thailand,Females,  902 ,,  698 ,  952 ,  504 ,  622 ,  580 ,  596 ,  526 ,  492 ,  457 ,  445 ,  475 ,  378 ,  404 ,,
Thailand,Males,  4240 ,,  3840 ,  5482 ,  3769 ,  4184 ,  4107 ,  3839 ,  3448 ,  3211 ,  3197 ,  2862 ,  2848 ,  2516 ,  2245 ,,
